Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Revchange,Profits,Prftchange,Assets,Totshequity
249,Las Vegas Sands,http://www.sands.com,49000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",3355 Las Vegas Blvd. S.,Las Vegas,NV,89109,702-414-1000,Sheldon G. Adelson,Chairman & Chief Executive Officer,"3355 Las Vegas Blvd. S., Las Vegas, NV 89109",LVS,Las Vegas Sands Corp.,11410,-2.4,1670,-15.1,20469,6177
250,Stanley Black & Decker,http://www.stanleyblackanddecker.com,54023,Household Products,"Home Equipment, Furnishings","New Britain, CT",1000 Stanley Dr.,New Britain,CT,6053,860-225-5111,James M. Loree,"President, Chief Executive Officer & Director","1000 Stanley Dr., New Britain, CT 06053",SWK,"Stanley Black & Decker, Inc.",11407,1.7,965.3,9.2,15635,6367
251,Parker-Hannifin,http://www.parker.com,48950,Industrials,Industrial Machinery,"Cleveland, OH",6035 Parkland Blvd.,Cleveland,OH,44124,216-896-3000,Thomas L. Williams,Chairman & Chief Executive Officer,"6035 Parkland Blvd., Cleveland, OH 44124",PH,Parker-Hannifin Corporation,11361,-10.6,806.8,-20.3,12057,4575
252,Stryker,http://www.stryker.com,33000,Health Care,Medical Products and Equipment,"Kalamazoo, MI",2825 Airview Blvd.,Kalamazoo,MI,49002,269-385-2600,Kevin A. Lobo,Chairman & Chief Executive Officer,"2825 Airview Blvd., Kalamazoo, MI 49002",SYK,Stryker Corporation,11325,13.9,1647,14.5,20435,9550
253,Estee Lauder,http://www.elcompanies.com,46000,Household Products,Household and Personal Products,"New York, NY",767 Fifth Ave.,New York,NY,10153,212-572-4200,Fabrizio Freda,"President, Chief Executive Officer & Director","767 Fifth Ave., New York, NY 10153",EL,The Estee Lauder Companies Inc.,11262,4.5,1114.6,2.4,9223,3572
254,Celgene,http://www.celgene.com,7132,Health Care,Pharmaceuticals,"Summit, NJ",86 Morris Ave.,Summit,NJ,7901,908-673-9000,Mark J. Alles,Chief Executive Officer & Director,"86 Morris Ave., Summit, NJ 07901",CELG,Celgene Corporation,11229,21.3,1999.2,24.8,28086,6599
255,BlackRock,http://www.blackrock.com,13000,Financials,Securities,"New York, NY",55 E. 52nd St.,New York,NY,10055,212-810-5300,Laurence D. Fink,Chairman & Chief Executive Officer,"55 E. 52nd St., New York, NY 10055",BLK,"BlackRock, Inc.",11155,-2.2,3172,-5.2,220177,29098
256,Xcel Energy,http://www.xcelenergy.com,11476,Energy,Utilities: Gas and Electric,"Minneapolis, MN",414 Nicollet Mall,Minneapolis,MN,55401,612-330-5500,Benjamin G.S. Fowke III,"Chairman, President & Chief Executive Officer","414 Nicollet Mall, Minneapolis, MN 55401",XEL,Xcel Energy Inc.,11107,0.7,1123.4,14.1,41155,11021
257,CSX,http://www.csx.com,26628,Transportation,Railroads,"Jacksonville, FL",500 Water St.,Jacksonville,FL,32202,904-359-3200,E. Hunter Harrison,"President, Chief Executive Officer & Director","500 Water St., Jacksonville, FL 32202",CSX,CSX Corporation,11069,-6.3,1714,-12.9,35414,11679
258,Unum Group,http://www.unum.com,9400,Financials,"Insurance: Life, Health (Stock)","Chattanooga, TN",1 Fountain Sq.,Chattanooga,TN,37402,423-294-1011,Richard P. McKenney,"President, Chief Executive Officer & Director","1 Fountain Sq., Chattanooga, TN 37402",UNM,Unum Group,11047,2.9,931.4,7.4,61942,8968
259,Jacobs Engineering Group,http://www.jacobs.com,49350,Engineering & Construction,"Engineering, Construction","Dallas, TX",1999 Bryan St.,Dallas,TX,75201,214-583-8500,Steven J. Demetriou,"Chairman, President & Chief Executive Officer","1999 Bryan St., Dallas, TX 75201",JEC,Jacobs Engineering Group Inc.,10964,-9.5,210.5,-30.5,7360,4265
260,Lennar,http://www.lennar.com,8335,Engineering & Construction,Homebuilders,"Miami, FL",700 N.W. 107th Ave.,Miami,FL,33172,305-559-4000,Stuart A. Miller,Chief Executive Officer & Director,"700 N.W. 107th Ave., Miami, FL 33172",LEN,Lennar Corporation,10950,15.6,911.8,13.6,15362,7026
261,Group 1 Automotive,http://www.group1auto.com,13500,Retailing,"Automotive Retailing, Services","Houston, TX",800 Gessner Rd.,Houston,TX,77024,713-647-5700,Earl J. Hesterberg,"President, Chief Executive Officer & Director","800 Gessner Rd., Houston, TX 77024",GPI,"Group 1 Automotive, Inc.",10888,2.4,147.1,56.5,4462,930
262,Leucadia National,http://www.leucadia.com,13000,Financials,Diversified Financials,"New York, NY",520 Madison Ave.,New York,NY,10022,212-460-1900,Richard B. Handler,Chief Executive Officer & Director,"520 Madison Ave., New York, NY 10022",LUK,Leucadia National Corporation,10875,-6.9,130,-54.2,45071,10128
263,Entergy,http://www.entergy.com,13513,Energy,Utilities: Gas and Electric,"New Orleans, LA",639 Loyola Ave.,New Orleans,LA,70113,504-576-4000,Leo P. Denault,Chairman & Chief Executive Officer,"639 Loyola Ave., New Orleans, LA 70113",ETR,Entergy Corporation,10846,-5.8,-583.6,-54.2,45904,8082
264,PayPal Holdings,http://www.paypal.com,18100,Business Services,Financial Data Services,"San Jose, CA",2211 N. First St.,San Jose,CA,95131,408-967-1000,Daniel H. Schulman,"President, Chief Executive Officer & Director","2211 N. First St., San Jose, CA 95131",PYPL,"PayPal Holdings, Inc.",10842,17.2,1401,14.1,33103,14712
265,Applied Materials,http://www.appliedmaterials.com,16150,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",3050 Bowers Ave.,Santa Clara,CA,95054,408-727-5555,Gary E. Dickerson,"President, Chief Executive Officer & Director","3050 Bowers Ave., Santa Clara, CA 95054",AMAT,"Applied Materials, Inc.",10825,12.1,1721,25,14588,7217
266,Voya Financial,http://www.voya.com,6700,Financials,Diversified Financials,"New York, NY",230 Park Ave.,New York,NY,10169,212-309-8200,Rodney O. Martin Jr.,Chairman & Chief Executive Officer,"230 Park Ave., New York, NY 10169",VOYA,"Voya Financial, Inc.",10782,-4.9,-428,-204.8,214235,12994
267,Mastercard,http://www.mastercard.com,11900,Business Services,Financial Data Services,"Purchase, NY",2000 Purchase St.,Purchase,NY,10577,914-249-2000,Ajay Banga,"President, Chief Executive Officer & Director","2000 Purchase St., Purchase, NY 10577",MA,Mastercard Incorporated,10776,11.5,4059,6.6,18675,5656
268,Priceline Group,http://www.pricelinegroup.com,18500,Technology,Internet Services and Retailing,"Norwalk, CT",800 Connecticut Ave.,Norwalk,CT,6854,203-299-8000,Glenn D. Fogel,"President, Chief Executive Officer & Director","800 Connecticut Ave., Norwalk, CT 06854",PCLN,The Priceline Group Inc.,10743,16.5,2135,-16.3,19839,9820
269,Liberty Interactive,http://www.libertyinteractive.com,21080,Retailing,Internet Services and Retailing,"Englewood, CO",12300 Liberty Blvd.,Englewood,CO,80112,720-875-5300,Gregory B. Maffei,"President, Chief Executive Officer & Director","12300 Liberty Blvd., Englewood, CO 80112",QVCA,Liberty Interactive Corporation,10647,6.6,1235,42.1,20355,6772
270,AutoZone,http://www.autozone.com,66780,Retailing,Specialty Retailers: Other,"Memphis, TN",123 S. Front St.,Memphis,TN,38103,901-495-6500,William C. Rhodes III,"Chairman, President & Chief Executive Officer","123 S. Front St., Memphis, TN 38103",AZO,"AutoZone, Inc.",10636,4.4,1241,7,8600,-1788
271,State Street Corp.,http://www.statestreet.com,33783,Financials,Commercial Banks,"Boston, MA",1 Lincoln St.,Boston,MA,2111,617-786-3000,Joseph L. Hooley,Chairman & Chief Executive Officer,"1 Lincoln St., Boston, MA 02111",STT,State Street Corporation,10635,-1.2,2143,8.2,242698,21219
272,DTE Energy,http://www.dteenergy.com,10000,Energy,Utilities: Gas and Electric,"Detroit, MI",1 Energy Plaza,Detroit,MI,48226,313-235-4000,Gerard M. Anderson,Chairman & Chief Executive Officer,"1 Energy Plaza, Detroit, MI 48226",DTE,DTE Energy Company,10630,2.8,868,19.4,32041,9011
273,L3 Technologies,http://www.l3t.com,38000,Aerospace & Defense,Aerospace and Defense,"New York, NY",600 Third Ave.,New York,NY,10016,212-697-1111,Michael T. Strianese,Chairman & Chief Executive Officer,"600 Third Ave., New York, NY 10016",LLL,"L3 Technologies, Inc.",10597,-8.3,710,19.4,11865,4553
274,HollyFrontier,http://www.hollyfrontier.com,2676,Energy,Petroleum Refining,"Dallas, TX",2828 N. Harwood,Dallas,TX,75201,214-871-3555,George J. Damiris,"President, Chief Executive Officer & Director","2828 N. Harwood, Dallas, TX 75201",HFC,HollyFrontier Corporation,10536,-20.4,-260.5,-135.2,9436,4681
275,Praxair,http://www.praxair.com,26498,Chemicals,Chemicals,"Danbury, CT",10 Riverview Dr.,Danbury,CT,6810,203-837-2000,Stephen F. Angel,Chairman & Chief Executive Officer,"10 Riverview Dr., Danbury, CT 06810",PX,"Praxair, Inc.",10534,-2.2,1500,-3,19332,5021
276,Universal Health Services,http://www.uhsinc.com,70863,Health Care,Health Care: Medical Facilities,"King of Prussia, PA",367 S. Gulph Rd.,King of Prussia,PA,19406,610-768-3300,Alan B. Miller,Chairman & Chief Executive Officer,"367 S. Gulph Rd., King of Prussia, PA 19406",UHS,"Universal Health Services, Inc.",10508,7.4,702.4,3.2,10318,4533
277,Discover Financial Services,http://www.discover.com,15549,Financials,Commercial Banks,"Riverwoods, IL",2500 Lake Cook Rd.,Riverwoods,IL,60015,224-405-0900,David W. Nelms,Chairman & Chief Executive Officer,"2500 Lake Cook Rd., Riverwoods, IL 60015",DFS,Discover Financial Services,10497,4.9,2393,4.2,92308,11323
278,Occidental Petroleum,http://www.oxy.com,11000,Energy,"Mining, Crude-Oil Production","Houston, TX",5 Greenway Plaza,Houston,TX,77046,713-215-7000,Vicki A. Hollub,"President, Chief Executive Officer & Director","5 Greenway Plaza, Houston, TX 77046",OXY,Occidental Petroleum Corporation,10398,-18.1,-574,4.2,43109,21497
279,United States Steel,http://www.ussteel.com,29800,Materials,Metals,"Pittsburgh, PA",600 Grant St.,Pittsburgh,PA,15219,412-433-1121,David B. Burritt,"President, Chief Executive Officer & Director","600 Grant St., Pittsburgh, PA 15219",X,United States Steel Corporation,10261,-11.3,-440,4.2,9160,2274
280,Sempra Energy,http://www.sempra.com,16575,Energy,Utilities: Gas and Electric,"San Diego, CA",488 Eighth Ave.,San Diego,CA,92101,619-696-2000,Debra L. Reed,Chairman & Chief Executive Officer,"488 Eighth Ave., San Diego, CA 92101",SRE,Sempra Energy,10183,-0.5,1370,1.6,47786,12951
281,Baxter International,http://www.baxter.com,48000,Health Care,Medical Products and Equipment,"Deerfield, IL",1 Baxter Pkwy.,Deerfield,IL,60015,224-948-2000,Jose E. Almeida,"Chairman, President & Chief Executive Officer","1 Baxter Pkwy., Deerfield, IL 60015",BAX,Baxter International Inc.,10163,2,4965,412.9,15546,8290
282,W.W. Grainger,http://www.grainger.com,25000,Wholesalers,Wholesalers: Diversified,"Lake Forest, IL",100 Grainger Pkwy.,Lake Forest,IL,60045,847-535-1000,D.G. Macpherson,Chief Executive Officer & Director,"100 Grainger Pkwy., Lake Forest, IL 60045",GWW,"W.W. Grainger, Inc.",10137,1.6,605.9,-21.2,5694,1798
283,Autoliv,http://www.autoliv.com,65900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",1320 Pacific Dr.,Auburn Hills,MI,48326,248-475-9000,Jan Carlson,"Chairman, President & Chief Executive Officer","1320 Pacific Dr., Auburn Hills, MI 48326",ALV,"Autoliv, Inc.",10074,9.9,567.1,24.1,8234,3677
284,Norfolk Southern,http://www.nscorp.com,27856,Transportation,Railroads,"Norfolk, VA",3 Commercial Place,Norfolk,VA,23510,757-629-2680,James A. Squires,"Chairman, President & Chief Executive Officer","3 Commercial Place, Norfolk, VA 23510",NSC,Norfolk Southern Corporation,9888,-5.9,1668,7.2,34892,12409
285,Baker Hughes,http://www.bakerhughes.com,33000,Energy,"Oil and Gas Equipment, Services","Houston, TX",17021 Aldine Westfield Rd.,Houston,TX,77073,713-439-8600,Martin S. Craighead,"Chairman, President & Chief Executive Officer","17021 Aldine Westfield Rd., Houston, TX 77073",BHI,Baker Hughes Incorporated,9841,-37.5,-2738,7.2,19034,12656
286,Ally Financial,http://www.ally.com,7600,Financials,Diversified Financials,"Detroit, MI",500 Woodward Ave.,Detroit,MI,48226,866-710-4623,Jeffrey J. Brown,Chief Executive Officer & Director,"500 Woodward Ave., Detroit, MI 48226",ALLY,Ally Financial Inc.,9835,3.1,1067,-17.2,163728,13317
287,Sonic Automotive,http://www.sonicautomotive.com,9800,Retailing,"Automotive Retailing, Services","Charlotte, NC",4401 Colwick Rd.,Charlotte,NC,28211,704-566-2400,B. Scott Smith,"President, Chief Executive Officer & Director","4401 Colwick Rd., Charlotte, NC 28211",SAH,"Sonic Automotive, Inc",9732,1.1,93.2,8,3639,725
288,Owens & Minor,http://www.owens-minor.com,7900,Wholesalers,Wholesalers: Health Care,"Mechanicsville, VA",9120 Lockwood Blvd.,Mechanicsville,VA,23116,804-723-7000,P. Cody Phipps,"President, Chief Executive Officer & Director","9120 Lockwood Blvd., Mechanicsville, VA 23116",OMI,"Owens & Minor, Inc.",9723,-0.5,108.8,5.2,2718,960
289,Huntsman,http://www.huntsman.com,15000,Chemicals,Chemicals,"The Woodlands, TX",10003 Woodloch Forest Dr.,The Woodlands,TX,77380,281-719-6000,Peter R. Huntsman,"President, Chief Executive Officer & Director","10003 Woodloch Forest Dr., The Woodlands, TX 77380",HUN,Huntsman Corporation,9657,-6.2,326,250.5,9189,1287
290,Laboratory Corp. of America,http://www.labcorp.com,52000,Health Care,Health Care: Pharmacy and Other Services,"Burlington, NC",358 S. Main St.,Burlington,NC,27215,336-229-1127,David P. King,"Chairman, President & Chief Executive Officer","358 S. Main St., Burlington, NC 27215",LH,Laboratory Corporation of America Holdings,9642,11.1,732.1,67.6,14247,5506
291,Murphy USA,http://www.murphyusa.com,6600,Retailing,Specialty Retailers: Other,"El Dorado, AR",200 Peach St.,El Dorado,AR,71730,870-875-7600,R. Andrew Clyde,"President, Chief Executive Officer & Director","200 Peach St., El Dorado, AR 71730",MUSA,Murphy USA Inc.,9633,-11.5,221.5,25.6,2089,697
292,Advance Auto Parts,http://www.advanceautoparts.com,57500,Retailing,Specialty Retailers: Other,"Roanoke, VA",5008 Airport Rd.,Roanoke,VA,24012,540-362-4911,Thomas R. Greco,"President, Chief Executive Officer & Director","5008 Airport Rd., Roanoke, VA 24012",AAP,"Advance Auto Parts, Inc.",9568,-1.7,459.6,-2.9,8315,2916
293,Fidelity National Financial,http://www.fnf.com,55219,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, FL",601 Riverside Ave.,Jacksonville,FL,32204,904-854-8100,Raymond R. Quirk,Chief Executive Officer & Director,"601 Riverside Ave., Jacksonville, FL 32204",FNF,"Fidelity National Financial, Inc.",9554,4.6,650,23.3,14463,5996
294,Air Products & Chemicals,http://www.airproducts.com,18450,Chemicals,Chemicals,"Allentown, PA",7201 Hamilton Blvd.,Allentown,PA,18195,610-481-4911,Seifi Ghasemi,"Chairman, President & Chief Executive Officer","7201 Hamilton Blvd., Allentown, PA 18195",APD,"Air Products & Chemicals, Inc.",9524,-3.7,631.1,-50.6,18055,7080
295,Hormel Foods,http://www.hormelfoods.com,21100,"Food, Beverages & Tobacco",Food Consumer Products,"Austin, MN",1 Hormel Place,Austin,MN,55912,507-437-5611,James P. Snee,Chief Executive Officer & Director,"1 Hormel Place, Austin, MN 55912",HRL,Hormel Foods Corporation,9523,2.8,890.1,29.7,6370,4448
296,Hertz Global Holdings,http://www.hertz.com,36000,Retailing,"Automotive Retailing, Services","Estero, FL",8501 Williams Rd.,Estero,FL,33928,239-301-7000,Kathryn V. Marinello,"President, Chief Executive Officer & Director","8501 Williams Rd., Estero, FL 33928",HTZ,"Hertz Global Holdings, Inc.",9480,-10,-491,-279.9,19155,1075
297,MGM Resorts International,http://www.mgmresorts.com,66500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",3600 Las Vegas Blvd. S.,Las Vegas,NV,89109,702-693-7120,James J. Murren,Chairman & Chief Executive Officer,"3600 Las Vegas Blvd. S., Las Vegas, NV 89109",MGM,MGM Resorts International,9455,2.9,1101.4,-279.9,28173,6220
298,Corning,http://www.corning.com,40700,Industrials,"Electronics, Electrical Equipment","Corning, NY",1 Riverfront Plaza,Corning,NY,14831,607-974-9000,Wendell P. Weeks,"Chairman, President & Chief Executive Officer","1 Riverfront Plaza, Corning, NY 14831",GLW,Corning Incorporated,9390,3.1,3695,176,27899,17893
299,Republic Services,http://www.republicservices.com,33000,Business Services,Waste Management,"Phoenix, AZ",18500 N. Allied Way,Phoenix,AZ,85054,480-627-2700,Donald W. Slager,"President, Chief Executive Officer & Director","18500 N. Allied Way, Phoenix, AZ 85054",RSG,"Republic Services, Inc.",9388,3,612.6,-18.3,20630,7691
300,Alcoa,http://www.alcoa.com,14000,Materials,Metals,"New York, NY",390 Park Ave.,New York,NY,10022,212-518-5400,Roy C. Harvey,Chief Executive Officer & Director,"390 Park Ave., New York, NY 10022",AA,Alcoa Corporation,9318,3,-400,-18.3,16741,5654
301,Fidelity National Information Services,http://www.fisglobal.com,55000,Business Services,Financial Data Services,"Jacksonville, FL",601 Riverside Ave.,Jacksonville,FL,32204,904-438-6000,Gary A. Norcross,"President, Chief Executive Officer & Director","601 Riverside Ave., Jacksonville, FL 32204",FIS,"Fidelity National Information Services, Inc.",9241,40.1,568,-10.1,26031,9741
302,Pacific Life,http://www.pacificlife.com,3628,Financials,"Insurance: Life, Health (Stock)","Newport Beach, CA",700 Newport Center Dr.,Newport Beach,CA,92660,949-219-3011,James T. Morris,"Chairman, President & Chief Executive Officer","700 Newport Center Dr., Newport Beach, CA 92660",FIS,Pacific Life,9169,6.1,824,24.7,143298,11022
303,SunTrust Banks,http://www.suntrust.com,24375,Financials,Commercial Banks,"Atlanta, GA",303 Peachtree St. N.E.,Atlanta,GA,30308,800-786-8787,William H. Rogers Jr.,Chairman & Chief Executive Officer,"303 Peachtree St. N.E., Atlanta, GA 30308",STI,"SunTrust Banks, Inc.",9161,7.4,1878,-2.8,204875,23515
304,LKQ,http://www.lkqcorp.com,42500,Wholesalers,Wholesalers: Diversified,"Chicago, IL",500 W. Madison St.,Chicago,IL,60661,312-621-1950,Dominick P. Zarcone,"President, Chief Executive Officer & Director","500 W. Madison St., Chicago, IL 60661",LKQ,LKQ Corporation,9082,26.3,464,9.6,8303,3442.9
305,BorgWarner,http://www.borgwarner.com,27000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",3850 Hamlin Rd.,Auburn Hills,MI,48326,248-754-9200,James R. Verrier,"President, Chief Executive Officer & Director","3850 Hamlin Rd., Auburn Hills, MI 48326",BWA,BorgWarner Inc.,9071,13.1,118.5,-80.6,8835,3218.3
306,Ball,http://www.ball.com,18450,Materials,"Packaging, Containers","Broomfield, CO",10 Longs Peak Dr.,Broomfield,CO,80021,303-469-3131,John A. Hayes,"Chairman, President & Chief Executive Officer","10 Longs Peak Dr., Broomfield, CO 80021",BLL,Ball Corporation,9061,13.3,263,-6.4,16173,3435
306,CST Brands,http://www.cstbrands.com,12380,Retailing,Specialty Retailers: Other,"San Antonio, TX",19500 Bulverde Rd.,San Antonio,TX,78259,210-692-5000,Kimberly S. Lubel,"Chairman, President & Chief Executive Officer","19500 Bulverde Rd., San Antonio, TX 78259",CST,"CST Brands, Inc.",9061,-4.6,324,117.4,4360,1229
306,Public Service Enterprise Group,http://www.pseg.com,13065,Energy,Utilities: Gas and Electric,"Newark, NJ",80 Park Plaza,Newark,NJ,7102,973-430-7000,Ralph Izzo,"Chairman, President & Chief Executive Officer","80 Park Plaza, Newark, NJ 07102",PEG,Public Service Enterprise Group Incorporated,9061,-13,887,-47.2,40070,13130
309,Eastman Chemical,http://www.eastman.com,14000,Chemicals,Chemicals,"Kingsport, TN",200 S. Wilcox Dr.,Kingsport,TN,37660,423-229-2000,Mark J. Costa,Chairman & Chief Executive Officer,"200 S. Wilcox Dr., Kingsport, TN 37660",EMN,Eastman Chemical Company,9008,-6.6,854,0.7,15457,4532
310,eBay,http://www.ebay.com,12600,Technology,Internet Services and Retailing,"San Jose, CA",2025 Hamilton Ave.,San Jose,CA,95125,408-376-7400,Devin N. Wenig,"President, Chief Executive Officer & Director","2025 Hamilton Ave., San Jose, CA 95125",EBAY,eBay Inc.,8979,-5.4,7266,321.2,23847,10539
311,Mohawk Industries,http://www.mohawkind.com,37800,Household Products,"Home Equipment, Furnishings","Calhoun, GA",160 S. Industrial Blvd.,Calhoun,GA,30701,706-629-7721,Jeffrey S. Lorberbaum,Chairman & Chief Executive Officer,"160 S. Industrial Blvd., Calhoun, GA 30701",MHK,"Mohawk Industries, Inc.",8959,11,930.4,51.2,10231,5777
312,Oneok,http://www.oneok.com,2384,Energy,Pipelines,"Tulsa, OK",100 W. Fifth St.,Tulsa,OK,74103,918-588-7000,Terry K. Spencer,"President, Chief Executive Officer & Director","100 W. Fifth St., Tulsa, OK 74103",OKE,"ONEOK, Inc.",8921,14.9,352,43.7,16139,189
313,Frontier Communications,http://www.frontier.com,28332,Telecommunications,Telecommunications,"Norwalk, CT",401 Merritt 7,Norwalk,CT,6851,203-614-5600,Daniel J. McCarthy,"President, Chief Executive Officer & Director","401 Merritt 7, Norwalk, CT 06851",FTR,Frontier Communications Corporation,8896,59.5,-373,43.7,29013,4519
314,Netflix,http://www.netflix.com,3850,Technology,Internet Services and Retailing,"Los Gatos, CA",100 Winchester Circle,Los Gatos,CA,95032,408-540-3700,Reed Hastings,"Chairman, President & Chief Executive Officer","100 Winchester Circle, Los Gatos, CA 95032",NFLX,"Netflix, Inc.",8831,30.3,186.7,52.2,13587,2680
315,American Family Insurance Group,http://www.amfam.com,10471,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",6000 American Pkwy.,Madison,WI,53783,608-249-2111,Jack C. Salzwedel,Chairman & Chief Executive Officer,"6000 American Pkwy., Madison, WI 53783",NFLX,American Family Insurance Group,8829,6.6,325.6,-53.1,22662,7760
316,Thrivent Financial for Lutherans,http://www.thrivent.com,3282,Financials,"Insurance: Life, Health (Mutual)","Minneapolis, MN",625 Fourth Ave. S.,Minneapolis,MN,55415,612-844-7000,Bradford L. Hewitt,Chief Executive Officer & Director,"625 Fourth Ave. S., Minneapolis, MN 55415",NFLX,Thrivent Financial for Lutherans,8777,-0.1,587.8,-23.6,88561,7726
317,Expedia,http://www.expediainc.com,20075,Technology,Internet Services and Retailing,"Bellevue, WA",333 108th Ave. N.E.,Bellevue,WA,98004,425-679-7200,Dara Khosrowshahi,"President, Chief Executive Officer & Director","333 108th Ave. N.E., Bellevue, WA 98004",EXPE,"Expedia, Inc.",8774,31.5,281.8,-63.1,15778,4132
318,Lithia Motors,http://www.lithiamotors.com,11170,Retailing,"Automotive Retailing, Services","Medford, OR",150 N. Bartlett St.,Medford,OR,97501,541-776-6401,Bryan B. DeBoer,"President, Chief Executive Officer & Director","150 N. Bartlett St., Medford, OR 97501",LAD,"Lithia Motors, Inc.",8678,10.3,197.1,7.7,3844,911
319,Avis Budget Group,http://www.avisbudgetgroup.com,25600,Retailing,"Automotive Retailing, Services","Parsippany, NJ",6 Sylvan Way,Parsippany,NJ,7054,973-496-4700,Larry D. De Shon,Chief Executive Officer & Director,"6 Sylvan Way, Parsippany, NJ 07054",CAR,"Avis Budget Group, Inc.",8659,1.8,163,-47.9,17643,221
320,Reliance Steel & Aluminum,http://www.rsac.com,14500,Materials,Metals,"Los Angeles, CA",350 S. Grand Ave.,Los Angeles,CA,90071,213-687-7700,Gregg J. Mollins,"President, Chief Executive Officer & Director","350 S. Grand Ave., Los Angeles, CA 90071",RS,Reliance Steel & Aluminum Co.,8613,-7.9,304.3,-2.3,7411,4149
321,GameStop,http://www.gamestopcorp.com,41750,Retailing,Specialty Retailers: Other,"Grapevine, TX",625 Westport Pkwy.,Grapevine,TX,76051,817-424-2000,J. Paul Raines,Chief Executive Officer & Director,"625 Westport Pkwy., Grapevine, TX 76051",GME,GameStop Corp.,8608,-8.1,353.2,-12.3,4976,2254
322,Tenneco,http://www.tenneco.com,31000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, IL",500 N. Field Dr.,Lake Forest,IL,60045,847-482-5000,Brian J. Kesseler,Chairman & Chief Executive Officer,"500 N. Field Dr., Lake Forest, IL 60045",TEN,Tenneco Inc.,8599,4.8,363,47,4342,588
323,O’Reilly Automotive,http://www.oreillyauto.com,58397,Retailing,Specialty Retailers: Other,"Springfield, MO",233 S. Patterson Ave.,Springfield,MO,65802,417-862-6708,Gregory L. Henslee,Chief Executive Officer & Director,"233 S. Patterson Ave., Springfield, MO 65802",ORLY,"O'Reilly Automotive, Inc.",8593,7.9,1037.7,11.4,7204,1627
324,Peter Kiewit Sons’,http://www.kiewit.com,20000,Engineering & Construction,"Engineering, Construction","Omaha, NE",1000 Kiewit Plaza,Omaha,NE,68131,402-342-2052,Bruce E. Grewcock,"President, Chief Executive Officer & Director","1000 Kiewit Plaza, Omaha, NE 68131",ORLY,"Peter Kiewit Sons', Inc.",8573,-4.7,396,57.8,6179,3268
325,United Natural Foods,http://www.unfi.com,9554,Wholesalers,Wholesalers: Food and Grocery,"Providence, RI",313 Iron Horse Way,Providence,RI,2908,401-528-8634,Steven L. Spinner,"Chairman, President & Chief Executive Officer","313 Iron Horse Way, Providence, RI 02908",UNFI,"United Natural Foods, Inc.",8470,3.5,125.8,-9.3,2852,1520
326,salesforce.com,http://www.salesforce.com,25000,Technology,Computer Software,"San Francisco, CA",1 Market St.,San Francisco,CA,94105,415-901-7000,Marc R. Benioff,Chairman & Chief Executive Officer,"1 Market St., San Francisco, CA 94105",CRM,"salesforce.com, inc.",8392,25.9,179.6,-9.3,17585,7500
327,Boston Scientific,http://www.bostonscientific.com,27000,Health Care,Medical Products and Equipment,"Marlborough, MA",300 Boston Scientific Way,Marlborough,MA,1752,508-683-4000,Michael F. Mahoney,"Chairman, President & Chief Executive Officer","300 Boston Scientific Way, Marlborough, MA 01752",BSX,Boston Scientific Corporation,8386,12.2,347,-9.3,18096,6733
328,Newmont Mining,http://www.newmont.com,12438,Energy,"Mining, Crude-Oil Production","Greenwood Village, CO",6363 S. Fiddler's Green Circle,Greenwood Village,CO,80111,303-863-7414,Gary J. Goldberg,"President, Chief Executive Officer & Director","6363 S. Fiddler's Green Circle, Greenwood Village, CO 80111",NEM,Newmont Mining Corporation,8379,8.4,-627,-385,21031,10721
329,Genworth Financial,http://www.genworth.com,3400,Financials,"Insurance: Life, Health (Stock)","Richmond, VA",6620 W. Broad St.,Richmond,VA,23230,804-281-6000,Thomas J. McInerney,"President, Chief Executive Officer & Director","6620 W. Broad St., Richmond, VA 23230",GNW,"Genworth Financial, Inc.",8369,-9.5,-277,-385,104658,12644
330,Live Nation Entertainment,http://www.livenationentertainment.com,11500,Media,Entertainment,"Beverly Hills, CA",9348 Civic Center Dr.,Beverly Hills,CA,90210,310-867-7000,Michael Rapino,"President, Chief Executive Officer & Director","9348 Civic Center Dr., Beverly Hills, CA 90210",LYV,"Live Nation Entertainment, Inc.",8355,15.3,2.9,-385,6764,1126
331,Veritiv,http://www.veritivcorp.com,8700,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",1000 Abernathy Rd. N.E.,Atlanta,GA,30328,770-391-8200,Mary A. Laschinger,Chairman & Chief Executive Officer,"1000 Abernathy Rd. N.E., Atlanta, GA 30328",VRTV,Veritiv Corp,8327,-4.5,21,-21.3,2484,542
